match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
267183,2015-03-22,21:00:00.000,Spain - La Liga,2014/2015,Barcelona,Real Madrid,2,1,available,scheduled,2022-08-14T18:11:16.045589,2021-06-13T16:17:31.694,28,Regular Season,Spotify Camp Nou,Antonio Miguel Mateu Lahoz,Luis Enrique Martínez García,Carlo Ancelotti,1.1.0,2,2
265835,2014-11-22,20:00:00.000,Spain - La Liga,2014/2015,Barcelona,Sevilla,5,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,12,Regular Season,Spotify Camp Nou,,Luis Enrique Martínez García,Unai Emery Etxegoien,1.1.0,2,2
266838,2014-09-24,22:00:00.000,Spain - La Liga,2014/2015,Málaga,Barcelona,0,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,5,Regular Season,Estadio La Rosaleda,,Javier Gracia Carlos,Luis Enrique Martínez García,1.1.0,2,2
265963,2015-04-28,20:00:00.000,Spain - La Liga,2014/2015,Barcelona,Getafe,6,0,available,scheduled,2022-08-14T18:34:52.948014,2021-06-13T16:17:31.694,34,Regular Season,Spotify Camp Nou,David Fernández Borbalan,Luis Enrique Martínez García,Pablo Franco Martín,1.1.0,2,2
266117,2014-09-27,18:00:00.000,Spain - La Liga,2014/2015,Barcelona,Granada,6,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,6,Regular Season,Spotify Camp Nou,,Luis Enrique Martínez García,Joaquín de Jesús Caparrós Camino,1.1.0,2,2
266916,2015-03-08,12:00:00.000,Spain - La Liga,2014/2015,Barcelona,Rayo Vallecano,6,1,available,scheduled,2022-08-14T18:04:02.007235,2021-06-13T16:17:31.694,26,Regular Season,Spotify Camp Nou,Jesús Gil Manzano,Luis Enrique Martínez García,Francisco Jémez Martín,1.1.0,2,2
267197,2015-05-23,18:30:00.000,Spain - La Liga,2014/2015,Barcelona,RC Deportivo La Coruña,2,2,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,38,Regular Season,Spotify Camp Nou,Carlos Clos Gómez,Luis Enrique Martínez García,Víctor Sánchez del Amo,1.1.0,2,2
70264,2014-12-13,16:00:00.000,Spain - La Liga,2014/2015,Getafe,Barcelona,0,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,15,Regular Season,Coliseum Alfonso Pérez,,Cosmin Marius Contra,Luis Enrique Martínez García,1.1.0,2,2
70273,2014-09-13,16:00:00.000,Spain - La Liga,2014/2015,Barcelona,Athletic Club,2,0,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,3,Regular Season,Spotify Camp Nou,David Fernández Borbalan,Luis Enrique Martínez García,Ernesto Valverde Tejedor,1.1.0,2,2
267301,2014-11-01,20:00:00.000,Spain - La Liga,2014/2015,Barcelona,Celta Vigo,0,1,available,scheduled,2020-07-29T05:00,2021-06-13T16:17:31.694,10,Regular Season,Spotify Camp Nou,,Luis Enrique Martínez García,Manuel Eduardo Berizzo,1.1.0,2,2
